"insult_slugs","quotes_vec","tweet","tweet_link","date"
"carl-cameron","consistently fumbles & misrepresents poll results","Carl Cameron @FoxNews is the only reporter I know who consistently fumbles &amp; misrepresents poll results. He has been so wrong &amp; he hates it!","https://twitter.com/realDonaldTrump/status/626838824363106304",2015-07-30 19:36:36
"carl-cameron","has been so wrong & he hates it!","Carl Cameron @FoxNews is the only reporter I know who consistently fumbles &amp; misrepresents poll results. He has been so wrong &amp; he hates it!","https://twitter.com/realDonaldTrump/status/626838824363106304",2015-07-30 19:36:36
"harry-hurt","dummy dope","How can a dummy dope like Harry Hurt, who wrote a failed book about me but doesn’t know me or anything about me, be on TV discussing Trump?","https://twitter.com/realDonaldTrump/status/626508731073867776",2015-07-29 21:44:56
"harry-hurt","wrote a failed book","How can a dummy dope like Harry Hurt, who wrote a failed book about me but doesn’t know me or anything about me, be on TV discussing Trump?","https://twitter.com/realDonaldTrump/status/626508731073867776",2015-07-29 21:44:56
"bias-free-language-guide","an outrage","This is an outrage! Bias-Free Language Guide claims the word 'American' is 'problematic' -- WHAT?! http://t.co/vKz8a0ICGs","https://twitter.com/realDonaldTrump/status/626453353741053952",2015-07-29 18:04:53
"daily-beast","failing","Thank you @Morning_Joe for throwing the pathetic reporter from the failing and money losing Daily Beast off the air. Really cool!","https://twitter.com/realDonaldTrump/status/626390337360142336",2015-07-29 13:54:28
"daily-beast","money losing","Thank you @Morning_Joe for throwing the pathetic reporter from the failing and money losing Daily Beast off the air. Really cool!","https://twitter.com/realDonaldTrump/status/626390337360142336",2015-07-29 13:54:28
"people","know NOTHING","So many people who know nothing about me are commenting all over T.V. and the media as though they have great D.J.T. insight. Know NOTHING!","https://twitter.com/realDonaldTrump/status/626375770856927232",2015-07-29 12:56:35
"people","have got to stop working to be so politically correct","People have got to stop working to be so politically correct and focus all of their energy on finding solutions to very complex problems!","https://twitter.com/realDonaldTrump/status/676198180757852160",2015-12-14 00:33:04
"elizabeth-beck","she wanted to breast pump in front of me at dep.",".@CNN &amp; @CNNPolitics did not say that lawyer Beck lost the case and I got legal fees. Also, she wanted to breast pump in front of me at dep.","https://twitter.com/realDonaldTrump/status/626368678343364609",2015-07-29 12:28:24
"elizabeth-beck","easy for me to beat","Lawyer Elizabeth Beck was easy for me to beat. Ask her clients if they are happy with her results against me. Got total win and legal fees.","https://twitter.com/realDonaldTrump/status/626369805432553472",2015-07-29 12:32:53
"elizabeth-beck","I loved beating her",".CNN &amp; @CNNPolitics Lawyer Elizabeth Beck did a terrible job against me, she lost (I even got legal fees). I loved beating her,she was easy","https://twitter.com/realDonaldTrump/status/626371654541778944",2015-07-29 12:40:14
"elizabeth-beck","did a terrible job against me",".CNN &amp; @CNNPolitics Lawyer Elizabeth Beck did a terrible job against me, she lost (I even got legal fees). I loved beating her,she was easy","https://twitter.com/realDonaldTrump/status/626371654541778944",2015-07-29 12:40:14
"elizabeth-beck","knows nothing about me",".@CNN Why is somebody (Beck) I beat so soundly all of a sudden an expert on Donald Trump (all over television). She knows nothing about me.","https://twitter.com/realDonaldTrump/status/626372849301876736",2015-07-29 12:44:59
"marty-walsh","wasted a lot of time and money","Boston's Mayor Walsh wasted a lot of time and money on going for the Olympics, and then he gave up. I don't want him negotiating for me!","https://twitter.com/realDonaldTrump/status/625816370849181696",2015-07-27 23:53:44
"john-sununu","couldn't get elected dog catcher",".@GovernorSununu who couldn't get elected dog catcher in NH forgot to mention my phenomenal biz success rate: 99.2% https://t.co/WsA3Jnjhwa","https://twitter.com/realDonaldTrump/status/625772928416763904",2015-07-27 21:01:07
"john-sununu","forgot to mention my phenomenal biz success rate",".@GovernorSununu who couldn't get elected dog catcher in NH forgot to mention my phenomenal biz success rate: 99.2% https://t.co/WsA3Jnjhwa","https://twitter.com/realDonaldTrump/status/625772928416763904",2015-07-27 21:01:07
"john-sununu","dummy","Why does @Greta have a fired Bushy like dummy, John Sununu on- spewing false info? I will beat Hillary by a lot, she wants no part of Trump.","https://twitter.com/realDonaldTrump/status/690336644281581568",2016-01-22 00:54:16
"steve-rattner","should have gone to prison",".@SteveRattner While I think you should have gone to prison for what you did, I guess Obama saved you. But watch – I will win!","https://twitter.com/realDonaldTrump/status/625740256743161856",2015-07-27 18:51:17
"scott-walker","not smart",".@ScottWalker despite your coming to my office to give me an award, your very dumb fundraiser hit me very hard--- not smart!","https://twitter.com/realDonaldTrump/status/624987427808124928",2015-07-25 16:59:49
"scott-walker","your very dumb fundraiser hit me very hard--- not smart!",".@ScottWalker despite your coming to my office to give me an award, your very dumb fundraiser hit me very hard--- not smart!","https://twitter.com/realDonaldTrump/status/624987427808124928",2015-07-25 16:59:49
"scott-walker","not presidential material",".@ScottWalker is a nice guy, but not presidential material. Wisconsin is in turmoil, borrowing to the hilt, and doing poorly in jobs etc.","https://twitter.com/realDonaldTrump/status/625128359572426752",2015-07-26 02:19:49
"scott-walker","massive deficit, bad jobs forecast, a mess","When people find out how bad a job Scott Walker has done in WI, they won’t be voting for him. Massive deficit, bad jobs forecast, a mess.","https://twitter.com/realDonaldTrump/status/625727665903898624",2015-07-27 18:01:15
"dana-perino","just not getting there","You’re just not getting there @DanaPerino. Sometimes things just don’t work out, but don’t worry--- no problem!","https://twitter.com/realDonaldTrump/status/624402452863938560",2015-07-24 02:15:20
"tim-o-brien","dumb guy with no clue","What a waste of time being interviewed by @andersoncooper when he puts on really stupid talking heads likeTim O'Brien-dumb guy with no clue!","https://twitter.com/realDonaldTrump/status/624166285363015681",2015-07-23 10:36:53
"tim-o-brien","really stupid talking head","What a waste of time being interviewed by @andersoncooper when he puts on really stupid talking heads likeTim O'Brien-dumb guy with no clue!","https://twitter.com/realDonaldTrump/status/624166285363015681",2015-07-23 10:36:53
"frank-luntz","knows nothing about me or my religion",".@FrankLuntz knows nothing about me or my religion. Came to my office looking for work. I had NO interest. I will save the vets!","https://twitter.com/realDonaldTrump/status/624039780653903872",2015-07-23 02:14:12
"frank-luntz","came to my office looking for work",".@FrankLuntz knows nothing about me or my religion. Came to my office looking for work. I had NO interest. I will save the vets!","https://twitter.com/realDonaldTrump/status/624039780653903872",2015-07-23 02:14:12
"frank-luntz","a low-class slob",".@FrankLuntz is a low class slob who came to my office looking for consulting work and I had zero interest. Now he picks anti-Trump panels!","https://twitter.com/realDonaldTrump/status/629554738766479360",2015-08-07 07:28:40
"frank-luntz","where did you find that dumb panel",".@FrankLuntz I won every poll of the debate tonight by massive margins @DRUDGE_REPORT &amp; @TIME so where did you find that dumb panel.","https://twitter.com/realDonaldTrump/status/629556966835265536",2015-08-07 07:37:32
"frank-luntz","a clown",".@FrankLuntz, your so-called ""focus groups"" are a total joke. Don't come to my office looking for business again. You are a clown!","https://twitter.com/realDonaldTrump/status/629558921779412992",2015-08-07 07:45:18
"frank-luntz","a total clown",".@FrankLuntz is a total clown. Has zero credibility! @FoxNews @megynkelly","https://twitter.com/realDonaldTrump/status/688183605491703812",2016-01-16 02:18:52
"???","failing","I hear a failing New York newspaper is going to publish one of my old cell phone numbers. So original - just one of many!","https://twitter.com/realDonaldTrump/status/623657131217166337",2015-07-22 00:53:41
"des-moines-register","failing","My response to the failing Des Moines Register, the ultra liberal paper that has no power in Iowa https://t.co/4bEAW1sDzU","https://twitter.com/realDonaldTrump/status/623609561228951552",2015-07-21 21:44:40
"des-moines-register","ultra liberal","My response to the failing Des Moines Register, the ultra liberal paper that has no power in Iowa https://t.co/4bEAW1sDzU","https://twitter.com/realDonaldTrump/status/623609561228951552",2015-07-21 21:44:40
